
..................TÜRKİYE VE YAKIN ÇEVRESİNDEKİ SON DEPREMLER....................
.....BÖLGESEL DEPREM-TSUNAMİ İZLEME VE DEĞERLENDİRME MERKEZİ HIZLI ÇÖZÜMLERİ.....
......(YAPAY SARSINTI ANALİZİ YAPILMAMIŞTIR) Son 500 deprem listelenmiştir......
                                                        Büyüklük
Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliği
---------- --------  --------  -------   ----------    ------------    --------------                                  --------------
2021.04.24 12:26:42  36.5507   36.0635        7.5      -.-  2.3  -.-   BUYUKDERE-ISKENDERUN (HATAY)                      İlksel
2021.04.24 12:19:37  40.5748   33.0450        8.8      -.-  1.9  -.-   HASANHACI-ORTA (CANKIRI)                          İlksel
2021.04.24 12:12:38  36.4158   27.1512        4.8      -.-  2.6  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.24 12:05:41  36.4067   27.1498        5.0      -.-  3.2  3.4   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.24 11:37:48  39.8825   28.8227        0.0      -.-  1.8  -.-   YENIDANISMENT-ORHANELI (BURSA)                    İlksel
2021.04.24 10:43:21  38.8975   43.4387        5.0      -.-  2.2  -.-   VAN GOLU                                          İlksel
2021.04.24 10:20:03  39.1018   29.0827       17.0      -.-  1.1  -.-   KALKAN-SIMAV (KUTAHYA)                            İlksel
2021.04.24 09:49:57  36.3268   27.2615       25.3      -.-  2.2  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.24 09:42:50  40.6987   35.1937        8.4      -.-  2.3  -.-   GUVENLI-(CORUM)                                   İlksel
2021.04.24 09:28:39  36.3562   27.1427       14.9      -.-  2.4  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.24 08:51:56  37.8688   26.9395        8.7      -.-  2.4  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.24 08:47:12  36.4653   27.1715        5.0      -.-  2.7  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
